Time,Used
39998.609458,130971296
39998.609481,131168912
39998.609504,131368464
39998.609527,131576448
39998.609550,131786744
39998.609574,131986480
39998.609597,132193688
39998.609620,132403608
39998.609643,132607704
39998.609666,132819024
39998.609689,133017384
39998.609713,133216704
39998.609736,133422776
39998.609759,133641680
39998.609782,133850048
39998.609805,134059880
39998.609828,134261744
39998.609851,134467192
39998.609875,134670528
39998.609898,134875216
39998.609921,135080216
39998.609944,116588288
39998.609967,116736928
39998.609990,117039496
39998.610013,117243128
39998.610037,117447208
39998.610060,117651232
39998.610083,116750144
39998.610106,124187888
39998.610129,125633584
39998.610153,125633584
39998.610176,125708368
39998.610199,125858984
39998.610222,125858984
39998.610245,126588824
39998.610268,126742352
39998.610291,126966632
39998.610315,127042360
39998.610338,127076056
39998.610361,127760760
39998.610384,127779904
39998.610407,127867424
39998.610430,128034768
39998.610454,128057040
39998.610477,128801856
39998.610500,128965488
39998.610523,129205760
39998.610546,129363184
39998.610569,129516672
39998.610592,129717352
39998.610616,129815152
39998.610639,129983056
39998.610662,130222936
39998.610685,130454568
39998.610708,130611920
39998.610731,130850936
39998.610754,131029712
39998.610778,131268344
39998.610801,131423928
39998.610824,132125200
39998.610847,132228680
39998.610870,132479616
39998.610893,132640280
39998.610916,132801616
39998.610940,132972280
39998.610963,132983928
39998.610986,133649720
39998.611009,133746264
39998.611032,134085320
39998.611055,141100184
39998.611078,123382248
39998.611101,134331424
39998.611125,144904512
39998.611148,116700696
39998.611171,116789000
39998.611194,117211736
39998.611217,117393600
39998.611240,117574584
39998.611263,117816392
39998.611287,166349272
39998.611310,182212968
39998.611333,217722912
39998.611356,220254128
39998.611379,246844456
39998.611402,289699288
39998.611426,319953848
39998.611449,354485608
39998.611472,402944848
39998.611495,415472136
39998.611518,466049968
39998.611541,473935992
39998.611564,169914888
39998.611588,244973304
39998.611611,251882768
39998.611634,265455720
39998.611657,297860048
39998.611680,384265864
39998.611728,439868568
39998.611751,456158248
39998.611774,166159624
39998.611798,190603840
39998.611821,245879128
39998.611844,274698760
39998.611867,311598408
39998.611890,358383616
39998.611913,386014304
39998.611937,431469520
39998.611960,442192416
39998.611983,492144120
39998.612006,166190952
39998.612029,209245584
39998.612052,230572440
39998.612075,305786032
39998.612123,347940728
39998.612146,395635880
39998.612169,420132344
39998.612192,448064368
39998.612216,487055280
39998.612238,178863408
39998.612262,216116840
39998.612285,227128712
39998.612308,279827328
39998.612331,283929248
39998.612354,314056944
39998.612378,317565808
39998.612401,340907624
39998.612424,336223496
39998.612447,328675584
39998.612470,324803128
39998.612493,335452584
39998.612516,354245536
39998.612540,324652424
39998.612563,356638416
39998.612586,352772592
39998.612609,352116824
39998.612632,351467904
39998.612655,351452488
39998.612678,352325160
39998.612702,351301552
39998.612725,350863616
39998.612748,350020864
39998.612771,350100848
39998.612794,348922952
39998.612817,347689952
39998.612841,347247592
39998.612864,346207720
39998.612887,347187072
39998.612910,348857672
39998.612933,166347880
39998.612956,166553896
39998.612979,166759112
39998.613002,166964856
39998.613025,167164128
39998.613049,167375328
39998.613072,166153808
39998.613095,186597496
39998.613118,187932320
39998.613141,197718160
39998.613164,201866128
39998.613187,205709064
39998.613211,207070128
39998.613234,206445032
39998.613257,205277936
39998.613280,206690304
39998.613303,204578800
39998.613326,203228376
39998.613350,200213416
39998.613373,202464624
39998.613396,199758408
39998.613419,197567168
39998.613442,197154784
39998.613465,225897344
39998.613488,228575504
39998.613512,226505896
39998.613535,226537648
39998.613558,223478480
39998.613581,223235744
39998.613604,219401048
39998.613627,218152624
39998.613650,218111296
39998.613674,248192024
39998.613697,247869360
39998.613720,245780304
39998.613743,244746176
39998.613766,240793896
39998.613789,239579304
39998.613812,236847024
39998.613836,266208784
39998.613859,262476208
39998.613882,258865640
39998.613905,255903360
39998.613928,254795672
39998.613951,252532144
39998.613975,251707064
39998.613998,280316368
39998.614021,279274592
39998.614044,276486840
39998.614067,273902712
39998.614090,271149120
39998.614113,267355728
39998.614137,267079632
39998.614160,295537272
39998.614183,291764608
39998.614206,287840120
39998.614229,285633456
39998.614252,281063824
39998.614275,308695496
39998.614299,303811600
39998.614322,299789240
39998.614345,295550536
39998.614368,323331544
39998.614391,318062800
39998.614414,312270712
39998.614438,310313752
39998.614461,304867584
39998.614484,332376152
39998.614507,327041088
39998.614530,321561424
39998.614553,316216400
