Time,CPU Usage
39998.615850,83.2
39998.615873,82.7
39998.615896,83.6
39998.615919,82.8
39998.615942,82.9
39998.615965,82.9
39998.615989,82.5
39998.616012,83.0
39998.616035,83.2
39998.616058,82.1
39998.616081,82.2
39998.616104,82.6
39998.616127,83.0
39998.616151,82.6
39998.616174,83.5
39998.616197,83.3
39998.616220,83.3
39998.616243,82.5
39998.616266,83.1
39998.616289,83.2
39998.616313,83.0
39998.616336,83.1
39998.616359,83.3
39998.616382,82.9
39998.616405,83.3
39998.616428,82.0
39998.616451,83.0
39998.616475,83.0
39998.616498,83.4
39998.616521,82.7
39998.616544,83.1
39998.616567,82.9
39998.616590,82.9
39998.616614,83.0
39998.616637,83.3
39998.616660,83.1
39998.616683,82.8
39998.616706,82.9
39998.616729,83.3
39998.616752,82.7
39998.616776,82.3
39998.616799,82.9
39998.616822,83.4
39998.616845,82.8
39998.616868,83.5
39998.616891,83.0
39998.616915,83.0
39998.616938,83.2
39998.616961,82.9
39998.616984,83.3
39998.617007,83.1
39998.617030,83.1
39998.617053,83.0
39998.617077,83.1
39998.617100,83.3
39998.617123,82.5
39998.617146,82.7
39998.617169,83.0
39998.617192,83.2
39998.617215,82.3
39998.617239,80.6
39998.617262,83.0
39998.617285,82.6
39998.617308,83.0
39998.617331,83.2
39998.617354,82.5
39998.617377,82.8
39998.617401,83.0
39998.617424,89.3
39998.617447,85.4
39998.617470,82.3
39998.617494,82.9
39998.617516,82.9
39998.617539,83.0
39998.617563,83.0
39998.617586,82.7
39998.617609,82.9
39998.617632,83.2
39998.617655,82.8
39998.617678,82.8
39998.617702,83.2
39998.617725,83.0
39998.617748,83.4
39998.617771,82.6
39998.617794,83.3
39998.617817,82.0
39998.617840,82.8
39998.617864,83.3
39998.617887,83.0
39998.617910,85.0
39998.617933,80.8
39998.617956,83.5
39998.617979,83.2
39998.618002,82.6
39998.618026,83.0
39998.618049,83.0
39998.618072,82.9
39998.618095,82.8
39998.618118,83.0
39998.618141,83.3
39998.618164,81.8
39998.618188,82.7
39998.618211,83.0
39998.618234,83.3
39998.618257,82.9
39998.618280,83.2
39998.618303,83.0
39998.618327,82.7
39998.618350,82.5
39998.618373,83.2
39998.618396,83.2
39998.618420,85.3
39998.618442,80.5
39998.618465,83.5
39998.618489,83.3
39998.618512,82.5
39998.618535,82.3
39998.618558,83.2
39998.618581,83.5
39998.618604,83.5
39998.618627,83.6
39998.618651,83.8
39998.618674,84.6
39998.618711,74.8
39998.618720,84.8
39998.618743,85.4
39998.618790,78.3
39998.618813,0.7
39998.618836,0.3
39998.618859,0.0
39998.618882,0.2
39998.618905,0.0
39998.618938,59.0
39998.618952,93.8
39998.618975,97.5
39998.618998,95.7
39998.619021,97.0
39998.619045,96.7
